pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_da
mix	mol	1	1	10000	0.00000000
mix	mol	1	10001	20000	-0.00000139
mix	mol	1	20001	30000	0.00000074
mix	mol	1	30001	40000	-0.00001369
mix	mol	1	40001	50000	0.00003958
mix	mol	1	50001	60000	0.00000000
mix	mol	1	60001	70000	0.00006052
mix	mol	1	70001	80000	0.00002260
mix	mol	1	80001	90000	0.00005029
mix	mol	1	90001	100000	0.00005316
mix	mol	1	100001	110000	0.00001229
mix	mol	1	110001	120000	0.00005400
mix	mol	1	120001	130000	0.00000000
mix	mol	1	130001	140000	-0.00000625
mix	mol	1	140001	150000	0.00001360
mix	mol	1	150001	160000	0.00003190
mix	mol	1	160001	170000	0.00001865
mix	mol	1	170001	180000	0.00000000
mix	mol	1	180001	190000	0.00005060
mix	mol	1	190001	200000	0.00006332
mix	mol	1	200001	210000	-0.00000855
mix	mol	1	210001	220000	0.00000045
mix	mol	1	220001	230000	0.00000026
mix	mol	1	230001	240000	0.00000840
mix	mol	1	240001	250000	0.00005695
mix	mol	1	250001	260000	0.00001241
mix	mol	1	260001	270000	0.00011505
mix	mol	1	270001	280000	0.00004952
mix	mol	1	280001	290000	-0.00000752
mix	mol	1	290001	300000	0.00001563
mix	mol	1	300001	310000	0.00005328
mix	mol	1	310001	320000	0.00006320
mix	mol	1	320001	330000	NA
mix	mol	1	330001	340000	0.00012741
mix	mol	1	340001	350000	0.00000000
mix	mol	1	350001	360000	0.00001329
mix	mol	1	360001	370000	-0.00001306
mix	mol	1	370001	380000	0.00000494
mix	mol	1	380001	390000	-0.00000386
mix	mol	1	390001	400000	0.00004807
mix	mol	1	400001	410000	0.00001376
mix	mol	1	410001	420000	0.00000388
mix	mol	1	420001	430000	0.00009316
mix	mol	1	430001	440000	0.00016603
mix	mol	1	440001	450000	-0.00000362
mix	mol	1	450001	460000	0.00002566
mix	mol	1	460001	470000	0.00008628
mix	mol	1	470001	480000	0.00000805
mix	mol	1	480001	490000	0.00001417
mix	mol	1	490001	500000	0.00010762
mix	mol	1	500001	510000	0.00002240
mix	mol	1	510001	520000	0.00001373
mix	mol	1	520001	530000	0.00001206
mix	mol	1	530001	540000	0.00001449
mix	mol	1	540001	550000	-0.00000819
mix	mol	1	550001	560000	0.00010275
mix	mol	1	560001	570000	0.00002531
mix	mol	1	570001	580000	0.00004550
mix	mol	1	580001	590000	0.00008778
mix	mol	1	590001	600000	0.00006529
mix	mol	1	600001	610000	0.00017388
mix	mol	1	610001	620000	NA
mix	mol	1	620001	630000	0.00063757
