pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_da
mol	pip	2	1	10000	NA
mol	pip	2	10001	20000	NA
mol	pip	2	20001	30000	0.00000118
mol	pip	2	30001	40000	NA
mol	pip	2	40001	50000	0.00010341
mol	pip	2	50001	60000	-0.00000224
mol	pip	2	60001	70000	0.00000229
mol	pip	2	70001	80000	0.00000416
mol	pip	2	80001	90000	0.00001967
mol	pip	2	90001	100000	0.00000322
mol	pip	2	100001	110000	0.00004581
mol	pip	2	110001	120000	0.00014560
mol	pip	2	120001	130000	0.00005180
mol	pip	2	130001	140000	0.00001342
mol	pip	2	140001	150000	0.00010111
mol	pip	2	150001	160000	0.00004461
mol	pip	2	160001	170000	0.00003864
mol	pip	2	170001	180000	0.00012334
mol	pip	2	180001	190000	0.00011307
mol	pip	2	190001	200000	0.00014405
mol	pip	2	200001	210000	0.00006774
mol	pip	2	210001	220000	0.00005126
mol	pip	2	220001	230000	0.00007070
mol	pip	2	230001	240000	0.00003866
mol	pip	2	240001	250000	0.00006634
mol	pip	2	250001	260000	0.00021700
mol	pip	2	260001	270000	0.00003313
mol	pip	2	270001	280000	0.00035128
mol	pip	2	280001	290000	0.00030844
mol	pip	2	290001	300000	0.00013658
mol	pip	2	300001	310000	0.00009477
mol	pip	2	310001	320000	0.00002355
mol	pip	2	320001	330000	0.00005607
mol	pip	2	330001	340000	0.00010775
mol	pip	2	340001	350000	0.00002432
mol	pip	2	350001	360000	0.00006435
mol	pip	2	360001	370000	0.00009865
mol	pip	2	370001	380000	0.00003172
mol	pip	2	380001	390000	0.00000674
mol	pip	2	390001	400000	0.00004284
mol	pip	2	400001	410000	0.00002268
mol	pip	2	410001	420000	0.00004064
mol	pip	2	420001	430000	0.00007237
mol	pip	2	430001	440000	0.00028184
mol	pip	2	440001	450000	0.00008192
mol	pip	2	450001	460000	0.00002991
mol	pip	2	460001	470000	0.00004329
mol	pip	2	470001	480000	0.00005169
mol	pip	2	480001	490000	0.00002534
mol	pip	2	490001	500000	0.00003582
mol	pip	2	500001	510000	0.00005556
mol	pip	2	510001	520000	0.00002630
mol	pip	2	520001	530000	0.00006128
mol	pip	2	530001	540000	NA
mol	pip	2	540001	550000	0.00000000
mol	pip	2	550001	560000	0.00000000
mol	pip	2	560001	570000	0.00010907
mol	pip	2	570001	580000	0.00019983
mol	pip	2	580001	590000	0.00020511
mol	pip	2	590001	600000	NA
mol	pip	2	600001	610000	NA
mol	pip	2	610001	620000	NA
mol	pip	2	620001	630000	0.00054676
mol	pip	2	630001	640000	0.00007643
mol	pip	2	640001	650000	0.00001770
mol	pip	2	650001	660000	0.00039933
mol	pip	2	660001	670000	0.00010663
