pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
mix	1	1	10000	0.0	9	0	87570	0
mol	1	1	10000	0.0	9	0	2484	0
pip	1	1	10000	0.0	9	0	1080	0
mix	1	10001	20000	0.0001192514202666	1391	1614	13534430	0
mol	1	10001	20000	0.0001146084039216	1391	44	383916	0
pip	1	10001	20000	8.986340762041697e-05	1391	15	166920	0
mix	1	20001	30000	0.0001332638624476	718	931	6986140	0
mol	1	20001	30000	0.0003179120746033	718	63	198168	0
pip	1	20001	30000	0.0001740947075208	718	15	86160	0
mix	1	30001	40000	0.0019376095762045	952	17948	9262960	0
mol	1	30001	40000	0.0017887589818536	952	470	262752	0
pip	1	30001	40000	0.0021533613445378	952	246	114240	0
mol	1	40001	50000	0.0012692698236868	1256	440	346656	0
mix	1	40001	50000	0.0022912425291795	1256	28001	12220880	0
pip	1	40001	50000	0.0026539278131634	1256	400	150720	0
pip	1	50001	60000	0.0	76	0	9120	0
mix	1	50001	60000	0.0	76	0	739480	0
mol	1	50001	60000	0.0	76	0	20976	0
mix	1	60001	70000	0.0013300587432586	598	7739	5818540	0
mol	1	60001	70000	0.0018237118898744	598	301	165048	0
pip	1	60001	70000	0.0022017837235228	598	158	71760	0
mix	1	70001	80000	0.0002668156736746	1030	2674	10021900	0
mol	1	70001	80000	0.0004889545518502	1030	139	284280	0
pip	1	70001	80000	0.0004368932038834	1030	54	123600	0
mix	1	80001	90000	0.0009021589071423	973	8541	9467290	0
mol	1	80001	90000	0.0012362780582987	973	332	268548	0
pip	1	80001	90000	0.0007365536142514	973	86	116760	0
mol	1	90001	100000	0.0005321010992088	1035	152	285660	0
mix	1	90001	100000	0.0004957028166286	1035	4992	10070550	0
pip	1	90001	100000	0.0003462157809983	1035	43	124200	0
mix	1	100001	110000	0.0012103167430162	796	9374	7745080	0
pip	1	100001	110000	0.0004501675041876	796	43	95520	0
mol	1	100001	110000	0.001078763382128	796	237	219696	0
mol	1	110001	120000	0.002487922705314	150	103	41400	0
pip	1	110001	120000	0.0	150	0	18000	0
mix	1	110001	120000	0.0015231243576567	150	2223	1459500	0
mix	1	120001	130000	0.0	41	0	398930	0
mol	1	120001	130000	0.0	41	0	11316	0
pip	1	120001	130000	0.0	41	0	4920	0
mix	1	130001	140000	0.00095047008838	649	6002	6314770	0
mol	1	130001	140000	0.0008541568968982	649	153	179124	0
pip	1	130001	140000	0.0007447354904982	649	58	77880	0
mix	1	140001	150000	0.0005383448343366	651	3410	6334230	0
mol	1	140001	150000	0.0003506311360448	651	63	179676	0
pip	1	140001	150000	0.0009984639016897	651	78	78120	0
mix	1	150001	160000	0.0011177800616649	250	2719	2432500	0
pip	1	150001	160000	0.0022333333333333	250	67	30000	0
mol	1	150001	160000	0.0022898550724637	250	158	69000	0
mix	1	160001	170000	0.000908033384909	91	804	885430	0
mol	1	160001	170000	0.0025083612040133	91	63	25116	0
pip	1	160001	170000	0.0	91	0	10920	0
mix	1	170001	180000	3.217503217503217e-05	444	139	4320120	0
mol	1	170001	180000	0.0	444	0	122544	0
pip	1	170001	180000	0.0	444	0	53280	0
mix	1	180001	190000	0.0011399242974958	328	3638	3191440	0
mol	1	180001	190000	0.0015354365500176	328	139	90528	0
pip	1	180001	190000	0.0003810975609756	328	15	39360	0
mol	1	190001	200000	0.0020936101869909	379	219	104604	0
mix	1	190001	200000	0.0015145064498721	379	5585	3687670	0
pip	1	190001	200000	0.0020008795074758	379	91	45480	0
pip	1	200001	210000	0.0009370816599732	498	56	59760	0
mix	1	200001	210000	0.0012560003632206	498	6086	4845540	0
mol	1	200001	210000	0.0011276992026075	498	155	137448	0
mix	1	210001	220000	0.0002714902363823	625	1651	6081250	0
pip	1	210001	220000	0.0	625	0	75000	0
mol	1	210001	220000	0.0001333333333333	625	23	172500	0
mix	1	220001	230000	0.0010572000620527	848	8723	8251040	0
mol	1	220001	230000	0.001038248564397	848	243	234048	0
pip	1	220001	230000	0.0008254716981132	848	84	101760	0
mix	1	230001	240000	0.0005565001586617	434	2350	4222820	0
mol	1	230001	240000	0.0001920122887864	434	23	119784	0
pip	1	230001	240000	0.0002880184331797	434	15	52080	0
mix	1	240001	250000	0.0001276473928489	438	544	4261740	0
mol	1	240001	250000	0.0007858513665541	438	95	120888	0
pip	1	240001	250000	0.0	438	0	52560	0
pip	1	250001	260000	0.0	292	0	35040	0
mol	1	250001	260000	0.0005459598967639	292	44	80592	0
mix	1	250001	260000	0.0	292	0	2841160	0
mix	1	260001	270000	0.0016514667151767	887	14253	8630510	0
mol	1	260001	270000	0.0016992631080175	887	416	244812	0
pip	1	260001	270000	0.0018602029312288	887	198	106440	0
mix	1	270001	280000	0.0013208227912212	903	11605	8786190	0
mol	1	270001	280000	0.0011997046880767	903	299	249228	0
pip	1	270001	280000	0.0010889627168696	903	118	108360	0
mix	1	280001	290000	0.001867275220581	694	12609	6752620	0
mol	1	280001	290000	0.0012268721547007	694	235	191544	0
pip	1	280001	290000	0.0015489913544668	694	129	83280	0
mix	1	290001	300000	0.0005166523152134	999	5022	9720270	0
mol	1	290001	300000	0.000602051326689	999	166	275724	0
pip	1	290001	300000	0.0002502502502502	999	30	119880	0
mol	1	300001	310000	0.0009151500500742	1259	318	347484	0
mix	1	300001	310000	0.0007824445084803	1259	9585	12250070	0
pip	1	300001	310000	0.0003574265289912	1259	54	151080	0
mix	1	310001	320000	0.0012860976338249	874	10937	8504020	0
pip	1	310001	320000	0.0018974065598779	874	199	104880	0
mol	1	310001	320000	0.0013348588863463	874	322	241224	0
mix	1	320001	330000	NA	0	NA	NA	NA
mol	1	320001	330000	NA	0	NA	NA	NA
pip	1	320001	330000	NA	0	NA	NA	NA
mix	1	330001	340000	0.0021426832529642	857	17867	8338610	0
mol	1	330001	340000	0.0021477009453266	857	508	236532	0
pip	1	330001	340000	0.0031408012446518	857	323	102840	0
mol	1	340001	350000	0.0	310	0	85560	0
pip	1	340001	350000	0.0	310	0	37200	0
mix	1	340001	350000	0.0	310	0	3016300	0
pip	1	350001	360000	0.0011294912842404	937	127	112440	0
mix	1	350001	360000	0.0007699892837673	937	7020	9117010	0
mol	1	350001	360000	0.0008932300125284	937	231	258612	0
mix	1	360001	370000	0.0012029468547992	535	6262	5205550	0
mol	1	360001	370000	0.0015779493430854	535	233	147660	0
pip	1	360001	370000	0.000607476635514	535	39	64200	0
mix	1	370001	380000	0.0006029664856449	338	1983	3288740	0
mol	1	370001	380000	0.0002465483234714	338	23	93288	0
pip	1	370001	380000	0.0006903353057199	338	28	40560	0
mix	1	380001	390000	0.0010770811921891	550	5764	5351500	0
mol	1	380001	390000	0.0016600790513833	550	252	151800	0
pip	1	380001	390000	0.0010757575757575	550	71	66000	0
mol	1	390001	400000	0.0010996139484842	916	278	252816	0
mix	1	390001	400000	0.0005249823846474	916	4679	8912680	0
pip	1	390001	400000	0.0004912663755458	916	54	109920	0
pip	1	400001	410000	0.0005091795754446	1162	71	139440	0
mix	1	400001	410000	0.0006249635157868	1162	7066	11306260	0
mol	1	400001	410000	0.0005113622190625	1162	164	320712	0
pip	1	410001	420000	0.0004980079681274	502	30	60240	0
mol	1	410001	420000	0.0006207055834632	502	86	138552	0
mix	1	410001	420000	0.0006023183729624	502	2942	4884460	0
mix	1	420001	430000	0.0020749423627121	333	6723	3240090	0
mol	1	420001	430000	0.0008704356530443	333	80	91908	0
pip	1	420001	430000	0.0021521521521521	333	86	39960	0
mix	1	430001	440000	0.0009757076133395	707	6712	6879110	0
mol	1	430001	440000	0.0014554250456101	707	284	195132	0
pip	1	430001	440000	0.0013201320132013	707	112	84840	0
pip	1	440001	450000	0.0008771929824561	779	82	93480	0
mol	1	440001	450000	0.0003209242618741	779	69	215004	0
mix	1	440001	450000	0.000542108033727	779	4109	7579670	0
mix	1	450001	460000	0.0016256756811364	763	12069	7423990	0
mol	1	450001	460000	0.0015480464223982	763	326	210588	0
pip	1	450001	460000	0.0012669287898645	763	116	91560	0
mix	1	460001	470000	0.0012697579162947	685	8463	6665050	0
mol	1	460001	470000	0.0008621601607955	685	163	189060	0
pip	1	460001	470000	0.0014476885644768	685	119	82200	0
pip	1	470001	480000	0.000858458961474	796	82	95520	0
mix	1	470001	480000	0.0006787534796283	796	5257	7745080	0
mol	1	470001	480000	0.000669106401573	796	147	219696	0
mix	1	480001	490000	0.0012878801075362	885	11090	8611050	0
mol	1	480001	490000	0.000990747564071	885	242	244260	0
pip	1	480001	490000	0.0012146892655367	885	129	106200	0
mix	1	490001	500000	0.0042510369915783	1390	57494	13524700	0
mol	1	490001	500000	0.0049864456261078	1390	1913	383640	0
