pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
mix	mol	1	1	10000	0.0	9	0	30240	0
mix	pip	1	1	10000	0.0	9	0	20160	0
mol	pip	1	1	10000	0.0	9	0	3456	0
mix	mol	1	10001	20000	0.0001155386669405	1391	540	4673760	0
mix	pip	1	10001	20000	0.0001059104446954	1391	330	3115840	0
mol	pip	1	10001	20000	0.0001048406422238	1391	56	534144	0
mix	mol	1	20001	30000	0.0002263231197771	718	546	2412480	0
mix	pip	1	20001	30000	0.0001479805013927	718	238	1608320	0
mol	pip	1	20001	30000	0.0002393802228412	718	66	275712	0
mix	mol	1	30001	40000	0.0018494897959183	952	5916	3198720	0
mix	pip	1	30001	40000	0.0019976740696278	952	4260	2132480	0
mol	pip	1	30001	40000	0.0019093574929971	952	698	365568	0
mix	mol	1	40001	50000	0.0018198362147406	1256	7680	4220160	0
mix	pip	1	40001	50000	0.0024987204276615	1256	7030	2813440	0
mol	pip	1	40001	50000	0.0020485005307855	1256	988	482304	0
mol	pip	1	50001	60000	0.0	76	0	29184	0
mix	pip	1	50001	60000	0.0	76	0	170240	0
mix	mol	1	50001	60000	0.0	76	0	255360	0
mix	mol	1	60001	70000	0.0016374024526198	598	3290	2009280	0
mix	pip	1	60001	70000	0.0017857142857142	598	2392	1339520	0
mol	pip	1	60001	70000	0.0022122352285395	598	508	229632	0
mix	mol	1	70001	80000	0.0004004854368932	1030	1386	3460800	0
mix	pip	1	70001	80000	0.0003588765603328	1030	828	2307200	0
mol	pip	1	70001	80000	0.0004955501618122	1030	196	395520	0
mix	mol	1	80001	90000	0.0011195125532227	973	3660	3269280	0
mix	pip	1	80001	90000	0.0008414696813977	973	1834	2179520	0
mol	pip	1	80001	90000	0.0009742206235011	973	364	373632	0
mix	mol	1	90001	100000	0.0005670577409707	1035	1972	3477600	0
mix	pip	1	90001	100000	0.000425293305728	1035	986	2318400	0
mol	pip	1	90001	100000	0.0004830917874396	1035	192	397440	0
mix	mol	1	100001	110000	0.0011568257956448	796	3094	2674560	0
mol	pip	1	100001	110000	0.0008636934673366	796	264	305664	0
mix	pip	1	100001	110000	0.000873788585786	796	1558	1783040	0
mix	pip	1	110001	120000	0.0008095238095238	150	272	336000	0
mol	pip	1	110001	120000	0.0013888888888888	150	80	57600	0
mix	mol	1	110001	120000	0.0020595238095238	150	1038	504000	0
mix	mol	1	120001	130000	0.0	41	0	137760	0
mix	pip	1	120001	130000	0.0	41	0	91840	0
mol	pip	1	120001	130000	0.0	41	0	15744	0
mix	mol	1	130001	140000	0.0008960672096265	649	1954	2180640	0
mix	pip	1	130001	140000	0.0008364516839093	649	1216	1453760	0
mol	pip	1	130001	140000	0.0007784411915767	649	194	249216	0
mix	mol	1	140001	150000	0.0004580864603906	651	1002	2187360	0
mix	pip	1	140001	150000	0.000788621900373	651	1150	1458240	0
mol	pip	1	140001	150000	0.0007440476190476	651	186	249984	0
mix	pip	1	150001	160000	0.0016607142857142	250	930	560000	0
mol	pip	1	150001	160000	0.0021875	250	210	96000	0
mix	mol	1	150001	160000	0.0017357142857142	250	1458	840000	0
mix	mol	1	160001	170000	0.0017268445839874	91	528	305760	0
mix	pip	1	160001	170000	0.0004709576138147	91	96	203840	0
mol	pip	1	160001	170000	0.0013736263736263	91	48	34944	0
mix	mol	1	170001	180000	1.6087516087516086e-05	444	24	1491840	0
mix	pip	1	170001	180000	1.6087516087516086e-05	444	16	994560	0
mol	pip	1	170001	180000	0.0	444	0	170496	0
mix	mol	1	180001	190000	0.0013882839721254	328	1530	1102080	0
mix	pip	1	180001	190000	0.0007785278745644	328	572	734720	0
mol	pip	1	180001	190000	0.0010797764227642	328	136	125952	0
mol	pip	1	190001	200000	0.0022537379067722	379	328	145536	0
mix	pip	1	190001	200000	0.0017833584621183	379	1514	848960	0
mix	mol	1	190001	200000	0.0018673828370398	379	2378	1273440	0
mix	mol	1	200001	210000	0.00118330464716	498	1980	1673280	0
mix	pip	1	200001	210000	0.0010972461273666	498	1224	1115520	0
mol	pip	1	200001	210000	0.0010458500669344	498	200	191232	0
mix	mol	1	210001	220000	0.0002028571428571	625	426	2100000	0
mix	pip	1	210001	220000	0.0001485714285714	625	208	1400000	0
mol	pip	1	210001	220000	6.666666666666667e-05	625	16	240000	0
mix	mol	1	220001	230000	0.0010479840521114	848	2986	2849280	0
mix	pip	1	220001	230000	0.0009360259433962	848	1778	1899520	0
mol	pip	1	220001	230000	0.0009335691823899	848	304	325632	0
mix	mol	1	230001	240000	0.0003826530612244	434	558	1458240	0
mol	pip	1	230001	240000	0.0002280145929339	434	38	166656	0
mix	pip	1	230001	240000	0.0004258558262014	434	414	972160	0
mix	mol	1	240001	250000	0.0005136986301369	438	756	1471680	0
mix	pip	1	240001	250000	6.523157208088715e-05	438	64	981120	0
mol	pip	1	240001	250000	0.0004756468797564	438	80	168192	0
mix	mol	1	250001	260000	0.0002853881278538	292	280	981120	0
mix	pip	1	250001	260000	0.0	292	0	654080	0
mol	pip	1	250001	260000	0.0002853881278538	292	32	112128	0
mix	pip	1	260001	270000	0.001701159607022	887	3380	1986880	0
mix	mol	1	260001	270000	0.0017904117678638	887	5336	2980320	0
mol	pip	1	260001	270000	0.0018026587748966	887	614	340608	0
mix	mol	1	270001	280000	0.0013097874808838	903	3974	3034080	0
mix	pip	1	270001	280000	0.0011845435848758	903	2396	2022720	0
mol	pip	1	270001	280000	0.0012112403100775	903	420	346752	0
mix	mol	1	280001	290000	0.0015395567448881	694	3590	2331840	0
mix	pip	1	280001	290000	0.0016969431864965	694	2638	1554560	0
mol	pip	1	280001	290000	0.001358369356388	694	362	266496	0
mix	mol	1	290001	300000	0.0005749797416464	999	1930	3356640	0
mix	pip	1	290001	300000	0.0003896753896753	999	872	2237760	0
mol	pip	1	290001	300000	0.0004587921254587	999	176	383616	0
mol	pip	1	300001	310000	0.0007074066719618	1259	342	483456	0
mix	mol	1	300001	310000	0.0009020764779303	1259	3816	4230240	0
mix	pip	1	300001	310000	0.0005900374446839	1259	1664	2820160	0
mol	pip	1	310001	320000	0.0017281655225019	874	580	335616	0
mix	mol	1	310001	320000	0.0013736787621226	874	4034	2936640	0
mix	pip	1	310001	320000	0.0015987659365805	874	3130	1957760	0
mol	pip	1	320001	330000	NA	0	NA	NA	NA
mix	pip	1	320001	330000	NA	0	NA	NA	NA
mix	mol	1	320001	330000	NA	0	NA	NA	NA
mix	pip	1	330001	340000	0.0025806384397399	857	4954	1919680	0
mix	mol	1	330001	340000	0.0022726009890537	857	6544	2879520	0
mol	pip	1	330001	340000	0.0027712952158693	857	912	329088	0
mix	mol	1	340001	350000	0.0	310	0	1041600	0
mix	pip	1	340001	350000	0.0	310	0	694400	0
mol	pip	1	340001	350000	0.0	310	0	119040	0
mix	mol	1	350001	360000	0.0008448950551405	937	2660	3148320	0
mix	pip	1	350001	360000	0.0009452660466534	937	1984	2098880	0
mol	pip	1	350001	360000	0.0009671824973319	937	348	359808	0
mix	mol	1	360001	370000	0.0013773920783266	535	2476	1797600	0
mix	pip	1	360001	370000	0.0009362483311081	535	1122	1198400	0
mol	pip	1	360001	370000	0.0010903426791277	535	224	205440	0
mix	mol	1	370001	380000	0.0004296985066215	338	488	1135680	0
mix	pip	1	370001	380000	0.0006551141166525	338	496	757120	0
mol	pip	1	370001	380000	0.0004622781065088	338	60	129792	0
mol	pip	1	380001	390000	0.0013541666666666	550	286	211200	0
mix	pip	1	380001	390000	0.0010665584415584	550	1314	1232000	0
mix	mol	1	380001	390000	0.0013647186147186	550	2522	1848000	0
mix	mol	1	390001	400000	0.0008603659804533	916	2648	3077760	0
mix	pip	1	390001	400000	0.000527331565814	916	1082	2051840	0
mol	pip	1	390001	400000	0.0008358351528384	916	294	351744	0
mix	pip	1	400001	410000	0.0005701376936316	1162	1484	2602880	0
mol	pip	1	400001	410000	0.0005423479632816	1162	242	446208	0
mix	mol	1	400001	410000	0.0005819195147938	1162	2272	3904320	0
mix	mol	1	410001	420000	0.0006153955606146	502	1038	1686720	0
