cycle,adults,juveniles,juveniles_density
1,0,13538,0.00411487
2,0,10401,0.00319567
3,0,8394,0.00260743
4,0,6919,0.0021879
5,0,5862,0.00189064
6,0,5062,0.00165754
7,0,4416,0.00148102
8,0,3885,0.00133544
9,0,3428,0.00120841
10,0,3079,0.00111304
11,1571,0,NA
12,799,3148,0.00124223
13,378,4141,0.0015137
14,182,4274,0.00152815
15,99,4011,0.00145466
16,52,3710,0.00136846
17,27,3340,0.0012499
18,13,2992,0.00115123
19,7,2680,0.0010613
20,6,2419,0.000987007
21,1,2192,0.000923151
22,497,1093,0.000774814
23,479,1651,0.00082961
24,366,2082,0.000881409
25,251,2324,0.00093001
26,194,2397,0.000934228
27,112,2415,0.000924688
28,53,2298,0.000898542
29,24,2149,0.00086569
30,16,1941,0.000831745
31,12,1761,0.000780695
32,5,1616,0.000754282
33,166,1165,0.00070248
34,238,1070,0.000662551
35,250,1109,0.000649023
36,188,1329,0.00065531
37,154,1440,0.000646345
38,117,1511,0.000647168
39,62,1562,0.000655216
40,36,1483,0.000638313
41,24,1388,0.000622802
42,11,1254,0.000606068
43,6,1168,0.000591506
44,52,978,0.000556851
45,99,874,0.00054124
46,113,863,0.000538955
47,119,867,0.000538339
48,105,828,0.000509728
49,99,847,0.00050252
50,69,896,0.000504525
51,49,913,0.000505141
52,33,894,0.000503744
53,22,854,0.000498444
54,11,815,0.000493064
55,28,720,0.000485084
56,51,658,0.000481324
57,66,641,0.000483472
58,55,667,0.000487524
59,60,665,0.000491397
60,57,665,0.000496312
61,70,677,0.000486909
62,58,756,0.000500446
63,45,808,0.000505908
64,30,791,0.000490372
65,14,774,0.000488205
66,16,725,0.000488376
67,28,662,0.000476713
68,55,620,0.000469792
69,61,634,0.000478133
70,61,641,0.000482021
71,59,690,0.000495024
72,53,679,0.000488336
73,57,663,0.000483284
74,42,703,0.000478153
75,38,663,0.000471692
76,31,658,0.00047108
77,23,624,0.000469037
78,35,595,0.000464161
79,41,599,0.000460947
80,40,591,0.00045924
81,57,557,0.00046731
82,59,595,0.000463293
83,57,650,0.000477421
84,51,669,0.000484287
85,37,721,0.000483945
86,31,731,0.000481895
87,14,698,0.000480173
88,11,628,0.000467104
89,19,547,0.000461982
90,33,487,0.00045626
91,36,470,0.000457219
92,41,473,0.0004565
93,49,451,0.000455871
94,51,446,0.000456716
95,47,482,0.000475061
96,41,483,0.000463954
97,37,487,0.000457484
98,23,544,0.000457707
99,13,557,0.00046447
100,14,536,0.000463868
101,21,498,0.000458694
102,33,474,0.000459866
103,32,492,0.000463197
104,40,479,0.000465241
105,53,478,0.000469378
106,46,527,0.000468539
107,42,563,0.00047573
108,45,566,0.000467998
109,26,601,0.000469288
110,22,591,0.00046842
111,21,594,0.000468776
112,25,580,0.000467058
113,34,561,0.000463388
114,34,572,0.000462008
115,43,565,0.000457794
116,57,583,0.000455808
117,59,607,0.000458471
118,58,611,0.000464493
119,49,627,0.000464237
120,38,684,0.000472045
121,36,715,0.000474939
122,36,692,0.000472054
123,33,685,0.000472112
124,36,635,0.000476224
125,43,625,0.000476102
126,52,606,0.000466691
127,62,600,0.00046226
128,46,649,0.000462798
129,53,662,0.00046934
130,59,690,0.000485635
131,59,751,0.000489004
132,42,843,0.000493303
133,29,871,0.000500961
134,28,855,0.00049478
135,38,852,0.000496834
136,32,846,0.000489113
137,45,787,0.000482075
138,70,796,0.000486028
139,73,877,0.000492543
140,79,919,0.000500583
141,97,953,0.000507843
142,133,1009,0.000507485
143,129,1233,0.000537516
144,119,1429,0.000567409
145,117,1573,0.000587721
146,123,1652,0.000588612
147,107,1735,0.000593471
148,139,1747,0.000588565
149,181,1887,0.000597518
150,217,2138,0.000628419
151,234,2491,0.000665875
152,287,2764,0.000699211
153,414,3070,0.000739355
154,528,3677,0.000804746
155,627,4482,0.000892837
156,710,5461,0.000990632
157,800,6505,0.00110061
158,887,7622,0.00121562
159,1024,8626,0.00132757
160,1170,9865,0.00145633
161,1399,11168,0.00159696
162,1551,12628,0.00174271
163,1729,14113,0.00190001
164,1933,15581,0.00205841
165,2164,17078,0.00220996
166,2332,18786,0.00240277
167,2479,20183,0.00254361
168,2512,21516,0.00268209
169,2519,22664,0.0028113
170,2464,23557,0.00290305
171,2350,23964,0.00294565
172,2268,24018,0.00295899
173,2133,23896,0.00294178
174,1978,23642,0.00291509
175,1884,23122,0.0028535
176,1864,22355,0.00278131
177,1765,21820,0.00272074
178,1727,21271,0.0026692
179,1674,20610,0.00259081
180,1668,20181,0.00254931
181,1565,19674,0.00249592
182,1584,19039,0.00244207
183,1532,18670,0.00239905
184,1454,18216,0.00233836
185,1469,17695,0.00228593
186,1354,17387,0.00223582
187,1326,16666,0.00216376
