cycle,adults,juveniles,juveniles_density
1,0,13522,0.00413831
2,0,10298,0.00315391
3,0,8383,0.00260304
4,0,6969,0.0021981
5,0,5882,0.00189503
6,0,5088,0.00167111
7,0,4400,0.00148447
8,0,3888,0.00134362
9,0,3480,0.00123904
10,0,3096,0.00113471
11,1571,0,NA
12,817,3138,0.00124268
13,410,4194,0.0015339
14,202,4331,0.001564
15,105,4067,0.00146534
16,67,3712,0.00136636
17,34,3358,0.00125105
18,13,3005,0.00114969
19,6,2718,0.00106838
20,1,2443,0.000985421
21,0,2225,0.000927631
22,495,1148,0.000793451
23,490,1547,0.000836217
24,340,2017,0.00087242
25,226,2362,0.000909407
26,133,2413,0.000911056
27,96,2307,0.000900415
28,61,2138,0.000858236
29,39,1961,0.000818684
30,17,1804,0.000782042
31,5,1625,0.000747478
32,3,1441,0.000708219
33,167,1018,0.000658507
34,239,1001,0.000631629
35,217,1104,0.0006301
36,186,1186,0.000615045
37,136,1297,0.000609371
38,97,1298,0.000612924
39,63,1243,0.000613129
40,36,1164,0.000604226
41,18,1090,0.000593178
42,11,1010,0.000578227
43,5,942,0.000558209
44,52,754,0.000525866
45,84,680,0.000514324
46,98,648,0.000500139
47,98,652,0.000492187
48,76,652,0.000500036
49,72,643,0.00050192
50,52,720,0.000503946
51,43,767,0.000511463
52,32,785,0.000511726
53,23,729,0.00050591
54,9,699,0.000498768
55,18,609,0.000483071
56,32,545,0.000467036
57,38,532,0.000474403
58,44,528,0.000463245
59,47,536,0.000462613
60,52,539,0.000456233
61,42,556,0.000466457
62,41,529,0.000462856
63,25,503,0.00045555
64,20,466,0.000447822
65,13,430,0.000443687
66,12,400,0.000440961
67,14,353,0.000441413
68,32,319,0.00043638
69,40,330,0.000435267
70,42,315,0.000440166
71,43,338,0.000440496
72,32,419,0.000449807
73,22,423,0.000455188
74,19,407,0.000446642
75,16,385,0.000443473
76,16,375,0.000443939
77,10,370,0.000445583
78,17,339,0.00044167
79,24,313,0.000436115
80,27,293,0.000436231
81,28,282,0.000435445
82,43,253,0.000436799
83,34,279,0.000435555
84,24,315,0.00042969
85,20,334,0.000428705
86,12,369,0.000433762
87,12,338,0.000433922
88,8,328,0.000430879
89,20,304,0.000427684
90,20,290,0.000423266
91,20,282,0.000423271
92,18,267,0.000428314
93,24,254,0.000439917
94,29,284,0.000434045
95,28,299,0.000445065
96,32,287,0.000437631
97,17,313,0.000433974
98,12,291,0.000423199
99,9,266,0.000426888
100,10,256,0.000427369
101,10,235,0.000429611
102,11,220,0.00043754
103,12,214,0.00043948
104,30,193,0.000435455
105,23,251,0.000442675
106,17,275,0.000431974
107,24,255,0.000429465
108,20,264,0.000432921
109,14,289,0.000433608
110,10,285,0.000431011
111,6,258,0.0004308
112,8,252,0.000431387
113,13,238,0.000429297
114,18,237,0.000429659
115,24,208,0.000424018
116,28,203,0.000424447
117,22,217,0.000421228
118,14,237,0.000417982
119,18,224,0.000425636
120,10,239,0.000426733
121,6,235,0.000423272
122,6,226,0.000424486
123,10,209,0.000425725
124,16,225,0.000425302
125,13,220,0.00042618
126,17,185,0.000424272
127,19,164,0.000416577
128,27,158,0.000419962
129,20,206,0.000430622
130,20,217,0.000427516
131,11,245,0.000427796
132,9,241,0.000431826
133,12,236,0.000433973
134,21,238,0.000436269
135,19,266,0.00044574
136,9,283,0.000441518
137,11,276,0.000438229
138,17,277,0.000432729
139,29,281,0.000432413
140,27,320,0.000444406
141,39,325,0.000449364
142,31,362,0.000450133
143,32,401,0.000460199
144,25,432,0.00047633
145,33,418,0.000468512
146,40,459,0.000469842
147,40,527,0.000467594
148,38,591,0.000477106
149,50,602,0.000473179
150,77,664,0.000483712
151,92,778,0.000500302
152,114,914,0.000518749
153,129,1133,0.00054586
154,146,1299,0.000562047
155,157,1551,0.000584345
156,191,1756,0.000601168
157,233,2032,0.000617984
158,276,2376,0.000652731
159,308,2833,0.000695021
160,385,3274,0.000744446
161,461,3807,0.000804651
162,563,4430,0.000880245
163,664,5123,0.00095526
164,755,6059,0.00106482
165,857,7010,0.0011681
166,924,8031,0.0012663
167,982,9100,0.00138054
168,1033,10037,0.00147894
169,1109,10934,0.00158106
170,1112,11782,0.00166223
171,1125,12446,0.00173844
172,1105,13028,0.00180286
173,1124,13432,0.00184191
174,1157,13585,0.00184979
175,1132,13806,0.00187467
176,1160,14000,0.0018964
177,1162,14183,0.00191774
178,1129,14221,0.00192489
179,1132,14205,0.00191251
180,1136,14153,0.00190025
181,1157,14126,0.0019112
182,1167,14344,0.00193835
183,1119,14446,0.0019413
184,1093,14583,0.0019529
185,1089,14625,0.00195643
186,1090,14353,0.00191652
187,1102,14185,0.00190407
188,1097,14024,0.00188701
189,1066,13953,0.00188186
190,1062,13690,0.00185482
191,1078,13618,0.00185213
192,1151,13430,0.00184637
193,1118,13592,0.00185319
194,1154,13613,0.00186096
195,1140,13651,0.00186012
196,1102,13792,0.00187459
197,1095,13764,0.00186931
198,1097,13687,0.00185602
199,1035,13680,0.0018487
200,1038,13638,0.00184925
201,1033,13471,0.00182429
202,1037,13243,0.00180082
203,1015,13051,0.00178068
204,1054,12991,0.00178046
205,1100,12881,0.00178043
206,1119,12782,0.00176327
207,1091,12982,0.00178739
208,1087,13116,0.00180045
209,1083,13080,0.00179395
210,1081,13235,0.00180898
211,1044,13191,0.00179811
212,1017,13335,0.00180854
213,1037,13223,0.00180467
214,1019,13285,0.00180649
215,976,13254,0.00180029
216,965,13205,0.00178388
217,969,13132,0.00178765
218,1013,12772,0.00175113
219,1043,12912,0.00177318
220,1053,12848,0.0017691
221,1025,12707,0.00174839
222,1049,12636,0.0017487
223,1027,12641,0.00175109
224,1053,12381,0.00172162
225,1038,12382,0.00170718
226,1009,12265,0.00169699
227,991,12244,0.00170239
228,954,12232,0.00170247
229,1003,12006,0.00168621
230,988,11948,0.0016774
231,965,11947,0.00167498
232,938,11799,0.00165834
233,964,11585,0.00164346
234,916,11728,0.0016466
235,937,11754,0.00164997
236,941,11733,0.00164073
237,953,11674,0.00163151
238,947,11685,0.00164296
239,941,11796,0.00165921
240,957,11615,0.00162633
241,1047,11462,0.00161549
242,1070,11578,0.00161734
243,1083,11838,0.00165767
244,1195,12107,0.00169188
245,1264,12371,0.00172146
246,1397,12808,0.00177105
247,1497,13325,0.00182744
248,1659,13997,0.00189968
249,1786,14754,0.0019781
250,1884,15734,0.00208086
251,2045,16560,0.00217434
252,2244,17284,0.00225362
253,2501,18356,0.00236611
254,2786,19550,0.0024907
255,3104,20505,0.00259695
256,3448,21843,0.00275086
