cycle,adults,juveniles,juveniles_density
1,0,13475,0.00411604
2,0,10321,0.00316727
3,0,8318,0.00258892
4,0,6915,0.00218311
5,0,5852,0.00188084
6,0,5045,0.00164755
7,0,4394,0.0014677
8,0,3861,0.0013262
9,0,3423,0.00120065
10,0,3069,0.00110692
11,1535,0,NA
12,746,3165,0.00123208
13,362,4110,0.00150468
14,184,4140,0.00150416
15,84,3929,0.0014297
16,46,3636,0.00134277
17,23,3271,0.00124787
18,12,2943,0.00115406
19,5,2649,0.0010641
20,0,2396,0.000989669
21,0,2147,0.000919146
22,479,1054,0.000757369
23,483,1540,0.000792031
24,385,2021,0.000855287
25,263,2437,0.000903755
26,159,2555,0.000938895
27,108,2490,0.000915752
28,73,2327,0.00088668
29,48,2135,0.000844165
30,23,1947,0.000818486
31,12,1795,0.00079594
32,7,1630,0.000761069
33,142,1175,0.000695257
34,234,1126,0.000675178
35,254,1172,0.000657132
36,216,1328,0.000649718
37,160,1529,0.000667886
38,112,1557,0.000656941
39,74,1531,0.00065022
40,49,1428,0.000633996
41,21,1325,0.000617585
42,11,1203,0.000596904
43,6,1100,0.000582842
44,57,901,0.000555289
45,100,845,0.000539427
46,136,873,0.000540075
47,141,925,0.000546316
48,110,1067,0.000555067
49,94,1092,0.000548277
50,71,1110,0.000547026
51,47,1116,0.000541552
52,35,1075,0.00053591
53,19,1040,0.000532539
54,13,953,0.000519801
55,36,831,0.000502229
56,62,716,0.000497524
57,83,717,0.000499586
58,98,730,0.000499825
59,90,824,0.00049889
60,72,877,0.000505874
61,58,901,0.000502082
62,43,863,0.000493713
63,43,833,0.00049049
64,33,831,0.000494076
65,25,775,0.000489348
66,29,709,0.00048157
67,41,661,0.000472989
68,56,640,0.000475971
69,83,588,0.000467259
70,70,645,0.000476143
71,61,695,0.000486639
72,57,711,0.000483676
73,44,708,0.000482573
74,35,713,0.000474756
75,29,704,0.000478189
76,22,681,0.000465248
77,29,643,0.000471181
78,34,643,0.000474441
79,38,645,0.000469168
80,49,616,0.000477498
81,62,614,0.000479629
82,57,651,0.000482281
83,43,671,0.000481331
84,45,622,0.000473299
85,37,606,0.000463336
86,34,592,0.000458544
87,27,585,0.000465442
88,23,562,0.000465195
89,28,550,0.000463084
90,37,536,0.000457312
91,47,511,0.00045047
92,50,550,0.000460361
93,44,579,0.000469834
94,36,606,0.000466901
95,32,599,0.000465126
96,22,586,0.000463336
97,31,540,0.000460835
98,29,581,0.000464414
99,22,580,0.000459259
100,25,586,0.000469819
101,41,576,0.00046799
102,53,563,0.000462602
103,55,576,0.00045726
104,61,638,0.000470285
105,50,711,0.000477265
106,40,750,0.000481624
107,32,791,0.00048643
108,35,772,0.000490642
109,29,773,0.000490912
110,34,757,0.000490152
111,31,751,0.000491429
112,42,692,0.000488798
113,43,695,0.000492987
114,70,683,0.000495571
115,80,707,0.000491725
116,64,728,0.000494102
117,64,743,0.000489739
118,44,777,0.000502354
119,46,751,0.000510353
120,45,782,0.000507124
121,36,785,0.000499428
122,31,781,0.000497427
123,45,754,0.000496122
124,58,752,0.000491202
125,60,799,0.000495992
126,69,836,0.000494518
127,69,863,0.000504868
128,69,926,0.000515549
129,47,961,0.000509821
130,45,910,0.000502897
131,44,889,0.000499175
132,38,878,0.000492986
133,40,897,0.000495083
134,47,874,0.000490186
135,70,832,0.000485962
136,71,837,0.000481797
137,78,874,0.000495499
138,96,908,0.000511442
139,98,993,0.000510268
140,83,1103,0.000515238
141,78,1152,0.000519798
142,71,1185,0.0005295
143,80,1213,0.000535443
144,85,1247,0.000535562
145,95,1327,0.000543994
146,132,1343,0.000549263
147,165,1446,0.000554132
148,199,1672,0.00058156
149,241,1885,0.0006075
150,272,2229,0.000639289
151,293,2575,0.000682505
152,326,2915,0.000713604
153,364,3320,0.000747235
154,420,3677,0.000790018
155,487,4238,0.000852971
156,547,4790,0.000907796
157,653,5403,0.000976317
158,803,6135,0.00106463
159,993,7146,0.00118346
160,1206,8349,0.00130816
161,1418,9783,0.00145479
162,1616,11303,0.00161374
163,1843,13092,0.00179346
164,1993,14952,0.00198797
165,2121,16749,0.00218811
166,2183,18294,0.00234293
167,2230,19706,0.00248834
168,2239,20617,0.00258802
169,2252,21363,0.00265887
170,2243,22053,0.00273389
171,2190,22433,0.00278068
172,2149,22679,0.00280658
173,2132,22779,0.00281603
174,2088,22756,0.00281588
175,2035,22538,0.00279602
176,1955,22155,0.00276325
177,1815,21742,0.00271371
178,1703,21291,0.00265288
179,1669,20669,0.00259384
180,1606,20084,0.0025353
181,1569,19618,0.00248682
182,1483,19379,0.00245789
183,1486,18677,0.00238368
184,1446,18187,0.00232375
185,1476,17709,0.002276
186,1428,17537,0.00227044
187,1340,17235,0.00223942
188,1309,17039,0.00221492
189,1246,16646,0.00217878
190,1242,16236,0.00213382
191,1233,15892,0.00208914
192,1227,15677,0.00207055
193,1225,15506,0.00205728
194,1212,15419,0.00205037
195,1236,15122,0.00201917
196,1265,14983,0.00200796
197,1261,15197,0.00204072
198,1246,15263,0.00204705
199,1189,15310,0.00203247
200,1175,15186,0.00200826
