cycle,adults,juveniles,juveniles_density
1,0,13443,0.00412413
2,0,10190,0.00315125
3,0,8223,0.00257616
4,0,6906,0.0021906
5,0,5901,0.00191279
6,0,5074,0.00167712
7,0,4455,0.00151071
8,0,3877,0.0013432
9,0,3444,0.00123529
10,0,3057,0.00113599
11,1528,0,NA
12,770,3111,0.00121638
13,368,4267,0.00152847
14,190,4353,0.00155699
15,92,4114,0.00148738
16,43,3691,0.00135301
17,23,3324,0.00124753
18,12,3018,0.00115381
19,5,2740,0.00107921
20,3,2453,0.00099232
21,1,2213,0.000924008
22,460,1175,0.000794695
23,487,1509,0.000825733
24,365,1962,0.000873694
25,246,2190,0.000909397
26,166,2225,0.000914156
27,102,2171,0.000917808
28,62,2046,0.000883863
29,39,1887,0.000841328
30,23,1734,0.000805115
31,10,1585,0.000767816
32,8,1440,0.000727001
33,147,1042,0.000664729
34,212,954,0.000628187
35,200,1110,0.00061708
36,158,1302,0.000625261
37,126,1410,0.000623187
38,95,1463,0.0006245
39,68,1373,0.000608243
40,45,1304,0.000594578
41,26,1238,0.000587828
42,19,1137,0.000561066
43,8,1056,0.000546219
44,38,872,0.000529548
45,87,745,0.000513222
46,107,740,0.000505937
47,104,796,0.000519533
48,88,835,0.000516848
49,71,874,0.000511959
50,57,875,0.000518759
51,45,855,0.000513375
52,24,859,0.000509896
53,24,795,0.000502018
54,10,738,0.000498308
55,23,675,0.00048818
56,34,610,0.000477633
57,52,542,0.000471112
58,66,558,0.000479534
59,71,582,0.000479058
60,56,632,0.000483845
61,38,652,0.000481738
62,38,645,0.000479303
63,25,649,0.0004851
64,20,607,0.000481027
65,19,585,0.000476234
66,18,545,0.000470512
67,22,516,0.000475836
68,29,473,0.000471459
69,29,444,0.000456559
70,39,391,0.000437996
71,43,394,0.000436767
72,44,432,0.000438003
73,43,465,0.000451748
74,29,497,0.00045913
75,24,491,0.000465924
76,21,502,0.000466291
77,16,493,0.00047217
78,16,460,0.000467418
79,20,443,0.000464851
80,22,437,0.000464124
81,25,425,0.000461455
82,34,446,0.000453895
83,47,457,0.000460127
84,41,484,0.000469195
85,27,531,0.000473272
86,24,528,0.000473651
87,19,520,0.000472543
88,18,516,0.000470632
89,29,471,0.000471118
90,23,485,0.00046731
91,26,478,0.000453574
92,32,444,0.000455032
93,25,431,0.000444804
94,30,422,0.000447862
95,34,438,0.000452613
96,30,471,0.000453869
97,24,475,0.000461341
98,21,460,0.000459992
99,17,438,0.000458239
100,35,390,0.000456137
101,23,427,0.000455606
102,29,407,0.0004535
103,27,407,0.000451188
104,29,408,0.000445501
105,26,408,0.000442101
106,37,412,0.000446165
107,39,448,0.000445787
108,36,488,0.000452769
109,24,516,0.000457723
110,22,506,0.000457471
111,29,458,0.000457427
112,24,468,0.000451565
113,22,480,0.000452152
114,25,462,0.000444581
115,35,471,0.000452129
116,31,484,0.000460937
117,34,505,0.000467382
118,46,504,0.000458604
119,48,540,0.000461496
120,37,558,0.000461023
121,28,595,0.00046568
122,33,573,0.000466585
123,29,592,0.000473056
124,32,587,0.000467204
125,34,592,0.000467222
126,34,603,0.000467098
127,43,614,0.000468218
128,40,610,0.000477194
129,61,582,0.000482093
130,50,613,0.000467221
131,37,640,0.000478409
132,32,650,0.000483251
133,38,652,0.000477419
134,38,637,0.000472712
135,38,647,0.000478328
136,47,590,0.000463365
137,53,612,0.000468249
138,48,639,0.000475782
139,45,667,0.000477624
140,52,663,0.000476391
141,65,735,0.000482786
142,66,798,0.000486999
143,63,875,0.000496166
144,57,952,0.000499249
145,61,986,0.000517937
