cycle,adults,juveniles,juveniles_density
1,0,13468,0.00410597
2,0,10307,0.00317388
3,0,8341,0.00259507
4,0,6918,0.00219335
5,0,5856,0.00188981
6,0,5068,0.00166366
7,0,4447,0.00149283
8,0,3876,0.00133715
9,0,3430,0.0012036
10,0,3022,0.00109668
11,1485,0,NA
12,731,3033,0.00122031
13,366,3921,0.00146568
14,184,4145,0.00151174
15,92,3922,0.00144655
16,44,3627,0.00134909
17,24,3275,0.00124268
18,8,2936,0.0011513
19,6,2625,0.0010643
20,1,2358,0.000982506
21,1,2133,0.000915431
22,466,1064,0.000762958
23,455,1430,0.000771528
24,354,1829,0.000821102
25,236,2121,0.00086235
26,140,2240,0.000882474
27,87,2172,0.000885535
28,48,2033,0.000860378
29,26,1877,0.000824763
30,12,1696,0.000774658
31,6,1549,0.00073336
32,2,1414,0.000700178
33,128,1038,0.000636534
34,179,998,0.000615225
35,205,1113,0.000607164
36,169,1228,0.000612422
37,118,1287,0.000615533
38,84,1310,0.000616274
39,56,1245,0.000603029
40,44,1147,0.000594555
41,27,1064,0.000576714
42,16,991,0.000567496
43,10,915,0.000560395
44,51,761,0.000544919
45,93,672,0.000534658
46,96,689,0.000518696
47,112,720,0.000512458
48,97,792,0.000505875
49,59,887,0.000513924
50,41,899,0.000514079
51,30,862,0.000507718
52,28,797,0.000502054
53,17,769,0.000493981
54,12,704,0.000485075
55,21,631,0.000477805
56,54,538,0.00047888
57,45,509,0.000466
58,59,509,0.000468335
59,71,502,0.000457886
60,62,551,0.000463684
61,50,607,0.000472113
62,30,643,0.000479803
63,29,622,0.000475196
64,16,651,0.000472651
65,8,621,0.00046724
66,15,568,0.000465582
67,21,522,0.000461788
68,34,476,0.000455979
69,47,447,0.000447772
70,46,485,0.000459185
71,48,508,0.000470481
72,53,535,0.000477125
73,37,582,0.00048165
74,37,579,0.000488211
75,24,592,0.000484046
76,18,582,0.000469231
77,18,572,0.000466393
78,18,532,0.000458443
79,22,499,0.000451552
80,36,464,0.00045081
81,33,454,0.000446392
82,36,426,0.000442792
83,43,418,0.00044197
84,40,429,0.00044939
85,31,463,0.000459326
86,25,479,0.000461552
87,26,486,0.000458966
88,15,484,0.000449706
89,15,442,0.000447306
90,15,414,0.000448238
91,24,385,0.000441189
92,28,374,0.000444897
93,39,381,0.000452631
94,36,368,0.000451407
95,34,346,0.000446521
96,29,369,0.000445599
97,21,357,0.000436513
98,21,359,0.000440315
99,17,338,0.000439503
100,21,321,0.000436585
101,18,324,0.000445145
102,24,304,0.000445665
103,25,313,0.000448805
104,27,339,0.000455829
105,25,380,0.000466369
106,27,387,0.000466821
107,18,410,0.000461403
108,20,403,0.000464284
109,14,394,0.000459556
110,11,388,0.000454
111,15,387,0.000450522
112,20,372,0.00044192
113,22,363,0.00045041
114,21,373,0.000447092
115,25,343,0.000439009
116,31,347,0.000430711
117,36,379,0.000437462
118,34,401,0.000445051
119,25,459,0.00045542
120,26,462,0.000449003
121,23,476,0.000452013
122,18,475,0.000451817
123,20,459,0.000453512
124,24,439,0.000451887
125,18,453,0.000458595
126,24,462,0.000453311
127,38,467,0.000451648
128,42,461,0.000448876
129,42,457,0.000443863
130,34,486,0.000453356
131,35,495,0.000457571
132,32,507,0.000456646
133,35,516,0.000455929
134,27,527,0.000460695
135,33,501,0.000455628
136,30,478,0.000449475
137,25,485,0.000453804
138,44,456,0.000452663
139,56,449,0.000451591
140,60,506,0.000457526
141,56,611,0.000466091
142,56,672,0.000476695
143,58,761,0.000489993
144,67,854,0.000499464
145,59,977,0.000510718
146,58,1023,0.000513893
147,77,1047,0.000515914
148,84,1149,0.000523284
149,94,1229,0.000534554
150,116,1307,0.000544786
151,174,1449,0.000554979
152,213,1665,0.000572395
153,269,1969,0.000612981
154,343,2405,0.000665322
155,438,2883,0.000718101
156,474,3680,0.000804996
157,513,4431,0.000882641
158,601,5170,0.000962228
159,684,6075,0.00105068
160,762,7018,0.0011542
161,889,8014,0.00126527
162,1011,9105,0.00137434
163,1169,10189,0.00148971
164,1348,11201,0.00159986
