GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0072546	EMC complex	5	2	0.11	0.0049	LOC_00014282;LOC_00014380
GO:0005905	clathrin-coated pit	10	2	0.23	0.0206	LOC_00014295;LOC_00014465
GO:0002102	podosome	1	1	0.02	0.0228	LOC_00014295
GO:0098871	postsynaptic actin cytoskeleton	2	1	0.05	0.0450	LOC_00014295
GO:0032588	trans-Golgi network membrane	2	1	0.05	0.0450	LOC_00014394
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	2	1	0.05	0.0450	LOC_00014534
GO:0008278	cohesin complex	2	1	0.05	0.0450	LOC_00014339
GO:0016020	membrane	3995	99	91.01	0.0621	LOC_00014218;LOC_00014220;LOC_00014223;LOC_00014224;LOC_00014232;LOC_00014234;LOC_00014235;LOC_00014236;LOC_00014239;LOC_00014241;LOC_00014242;LOC_00014244;LOC_00014245;LOC_00014247;LOC_00014248;LOC_00014249;LOC_00014250;LOC_00014251;LOC_00014252;LOC_00014253;LOC_00014254;LOC_00014255;LOC_00014256;LOC_00014257;LOC_00014258;LOC_00014259;LOC_00014260;LOC_00014261;LOC_00014262;LOC_00014263;LOC_00014264;LOC_00014265;LOC_00014267;LOC_00014268;LOC_00014269;LOC_00014270;LOC_00014271;LOC_00014274;LOC_00014275;LOC_00014278;LOC_00014282;LOC_00014287;LOC_00014290;LOC_00014295;LOC_00014297;LOC_00014298;LOC_00014301;LOC_00014316;LOC_00014321;LOC_00014322;LOC_00014324;LOC_00014326;LOC_00014329;LOC_00014334;LOC_00014344;LOC_00014348;LOC_00014349;LOC_00014350;LOC_00014354;LOC_00014355;LOC_00014356;LOC_00014357;LOC_00014359;LOC_00014372;LOC_00014380;LOC_00014386;LOC_00014392;LOC_00014393;LOC_00014394;LOC_00014406;LOC_00014417;LOC_00014429;LOC_00014431;LOC_00014438;LOC_00014444;LOC_00014451;LOC_00014456;LOC_00014458;LOC_00014460;LOC_00014465;LOC_00014468;LOC_00014472;LOC_00014478;LOC_00014485;LOC_00014490;LOC_00014492;LOC_00014496;LOC_00014497;LOC_00014510;LOC_00014514;LOC_00014515;LOC_00014519;LOC_00014522;LOC_00014523;LOC_00014524;LOC_00014531;LOC_00014534;LOC_00014539;LOC_00014541
GO:1990023	mitotic spindle midzone	3	1	0.07	0.0668	LOC_00014295
GO:0005672	transcription factor TFIIA complex	3	1	0.07	0.0668	LOC_00014448
GO:0000428	DNA-directed RNA polymerase complex	57	4	1.3	0.0679	LOC_00014276;LOC_00014277;LOC_00014434;LOC_00014448
GO:0034045	phagophore assembly site membrane	4	1	0.09	0.0881	LOC_00014372
GO:0030121	AP-1 adaptor complex	4	1	0.09	0.0881	LOC_00014465
GO:0005666	RNA polymerase III complex	5	1	0.11	0.1089	LOC_00014276
GO:0042765	GPI-anchor transamidase complex	5	1	0.11	0.1089	LOC_00014386
GO:0030864	cortical actin cytoskeleton	6	1	0.14	0.1292	LOC_00014295
GO:0030426	growth cone	6	1	0.14	0.1292	LOC_00014295
GO:0005762	mitochondrial large ribosomal subunit	6	1	0.14	0.1292	LOC_00014231
GO:0005765	lysosomal membrane	30	2	0.68	0.1486	LOC_00014218;LOC_00014275
GO:0008076	voltage-gated potassium channel complex	7	1	0.16	0.1490	LOC_00014295
GO:0030677	ribonuclease P complex	7	1	0.16	0.1490	LOC_00014499
GO:0016272	prefoldin complex	7	1	0.16	0.1490	LOC_00014416
GO:0005811	lipid droplet	7	1	0.16	0.1490	LOC_00014372
GO:0098552	side of membrane	61	3	1.39	0.1618	LOC_00014348;LOC_00014349;LOC_00014350
GO:0001726	ruffle	8	1	0.18	0.1684	LOC_00014295
GO:0031314	extrinsic component of mitochondrial inner membrane	8	1	0.18	0.1684	LOC_00014316
GO:0005778	peroxisomal membrane	9	1	0.21	0.1874	LOC_00014392
GO:0016363	nuclear matrix	9	1	0.21	0.1874	LOC_00014286
GO:0043197	dendritic spine	9	1	0.21	0.1874	LOC_00014295
GO:0030027	lamellipodium	10	1	0.23	0.2059	LOC_00014295
